Name,P17 - CannardAngle1,P18 - CannardAngle2,P19 - AttackAngle,P20 - SideSlipAngle,P21 - f-x-op,P22 - f-y-op,P23 - f-z-op,P24 - t-x-op,P25 - t-y-op,P26 - t-z-op
Units,degree,degree,degree,degree,N,N,N,J,J,J
0,-30,-30,0,0,"-0,48495616","-0,41447981","-29,692349","-0,40640291","0,16784324","-1,1285363"
1,-30,-20,0,0,"-1,6311674","-0,70084344","-26,547904","0,067836806","-1,1459461","-1,1512142"
2,-30,-10,0,0,"3,0699547","1,5874901","-22,211588","-0,0084580893","0,71906832","-0,90101278"
3,-30,0,0,0,"11,796567","3,1322029","-20,79152","0,31891289","3,9457203","-0,48580668"
4,-30,10,0,0,"21,132895","1,0214843","-22,237576","-0,5172979","6,8044661","-0,093509756"
5,-30,20,0,0,"30,20946","-1,77666","-27,103257","-0,86975756","8,2921568","0,34162105"
6,-30,30,0,0,"23,929603","-0,29910464","-29,778872","-0,17004908","6,9709922","0,037774664"
7,-20,-30,0,0,"-0,21685929","0,0060117135","-25,900996","0,036837821","1,1369703","-1,1103853"
8,-20,-20,0,0,"-3,1878767","0,82245614","-22,038495","0,28700426","0,73902142","-1,2022063"
9,-20,-10,0,0,"1,6939352","0,53305625","-18,512163","0,019135987","0,70106923","-0,89895884"
10,-20,0,0,0,"13,503999","4,6428757","-17,936018","1,1948355","4,8208125","-0,51369993"
11,-20,10,0,0,"23,601402","1,798353","-18,722134","0,71008957","7,3408863","-0,21069537"
12,-20,20,0,0,"31,554122","-1,4673273","-23,662288","-0,10517845","9,2119104","0,29527164"
13,-20,30,0,0,"28,973218","0,48510994","-26,583342","0,32499104","8,2024017","-0,21358677"
14,-10,-30,0,0,"-2,7013843","-0,97492359","-22,396828","-0,61011139","-0,90081214","-1,3"
15,-10,-20,0,0,"-7,3754519","-4,4516119","-19,764689","-1,5416851","-1,967896","-1,0253121"
16,-10,-10,0,0,"-0,72383942","-0,77641432","-15,073352","-0,62896025","0,05195111","-0,72447953"
17,-10,0,0,0,"9,2207601","1,7401578","-13,60849","0,52647173","2,7829116","-0,33407604"
18,-10,10,0,0,"18,234533","-0,97218903","-14,992775","-0,80111094","6,1982851","0,044941662"
19,-10,20,0,0,"27,705057","-2,6267025","-19,268972","-0,73929352","7,4217552","0,47145187"
20,-10,30,0,0,"21,073612","-1,94606","-22,386156","-0,29052585","6,4511054","0,17445817"
21,0,-30,0,0,"-12,55486","-4,0489076","-21,000519","-1,1188917","-3,5051107","-0,51728293"
22,0,-20,0,0,"-17,695051","-5,8974393","-18,699911","-1,6498133","-4,7202995","-0,71302558"
23,0,-10,0,0,"-9,8052156","-2,07103","-13,716254","-0,79087038","-2,6448425","-0,36722107"
24,0,0,0,0,"0,69550763","-0,20513768","-12,133623","-0,17161409","-0,57453933","0,00089816563"
25,0,10,0,0,"10,095887","-1,917129","-13,745319","-0,64810145","2,544949","0,37445645"
26,0,20,0,0,"14,266599","-3,8866263","-17,310003","-1,5294355","3,9818426","0,57822208"
27,0,30,0,0,"12,504888","-4,2674589","-21,066983","-1,2748232","3,6672496","0,52058767"
28,10,-30,0,0,"-21,250146","-2,033109","-22,437286","-0,35456829","-6,5963344","-0,1777236"
29,10,-20,0,0,"-26,446902","-1,7130268","-19,01138","-0,55339676","-6,9618318","-0,41892902"
30,10,-10,0,0,"-18,509965","-0,18659673","-14,992018","-0,19148264","-5,7777477","-0,033851944"
31,10,0,0,0,"-9,2608232","1,6071188","-13,601651","0,39244489","-2,8636215","0,33557102"
32,10,10,0,0,"0,66785349","-0,73094936","-15,088304","-0,62543094","-0,1353584","0,73604835"
33,10,20,0,0,"7,222516","-3,4746934","-19,94601","-0,57183467","1,7236384","1,0172908"
34,10,30,0,0,"3,7685376","-2,651124","-22,400917","-0,92799174","0,69977496","0,90643232"
35,20,-30,0,0,"-22,619879","-0,80760993","-26,798731","-0,41368399","-7,8328902","-0,047467928"
36,20,-20,0,0,"-35,233802","1,7727084","-24,325629","0,31038538","-9,3405159","-0,10182531"
37,20,-10,0,0,"-26,659477","2,5748476","-19,418906","0,61110291","-7,5004222","0,37420789"
38,20,0,0,0,"-17,512534","3,9466552","-17,604856","0,92717044","-4,60995","0,71210177"
39,20,10,0,0,"-3,0357312","2,0545795","-18,579682","0,55559336","-1,7702262","0,89188517"
40,20,20,0,0,"-1,4613999","2,0176463","-22,588609","0,61696942","-0,82915065","1,3650459"
41,20,30,0,0,"-1,9259172","1,3332135","-26,713948","0,14419878","-1,5058889","1,1983083"
42,30,-30,0,0,"-23,641648","-0,63128032","-29,752167","-0,5161349","-7,2702975","-0,041770259"
43,30,-20,0,0,"-25,746327","-2,3267908","-27,049222","-1,5961463","-8,663115","-0,12504761"
44,30,-10,0,0,"-21,38579","1,8699558","-22,224214","0,19334622","-6,5047861","0,096155859"
45,30,0,0,0,"-12,182228","3,9526769","-20,824471","1,0043475","-3,6418293","0,48858527"
46,30,10,0,0,"-2,5264332","1,5602591","-22,149334","0,033774474","-0,92517118","0,90676395"
47,30,20,0,0,"0,68263255","-0,25172169","-26,226231","-0,043691702","0,62875897","1,0982521"
48,30,30,0,0,"0,61345617","0,76985936","-29,641163","0,58742925","-0,28513451","1,1261029"
